x_recipient_code,iso3
AW,ABW
AF,AFG
AO,AGO
AI,AIA
AIA,AIA
AX,ALA
AL,ALB
AE,ARE
AR,ARG
AM,ARM
AG,ATG
AU,AUS
AT,AUT
AZ,AZE
BI,BDI
BE,BEL
BJ,BEN
BF,BFA
BD,BGD
BG,BGR
BH,BHR
BS,BHS
BA,BIH
BY,BLR
BZ,BLZ
BMU,BMU
BO,BOL
BR,BRA
BB,BRB
BN,BRN
BT,BTN
BW,BWA
CAR,CAF
CF,CAF
CA,CAN
CH,CHE
CL,CHL
CN,CHN
CI,CIV
CM,CMR
CD,COD
CG,COG
CK,COK
COK,COK
CO,COL
KM,COM
CV,CPV
CR,CRI
CU,CUB
CW,CUW
CYM,CYM
CY,CYP
CZ,CZE
DE,DEU
DJ,DJI
DM,DMA
DK,DNK
DO,DOM
DZ,DZA
EC,ECU
EG,EGY
ER,ERI
EH,ESH
ES,ESP
EE,EST
ET,ETH
FI,FIN
FJ,FJI
FR,FRA
FM,FSM
GA,GAB
GB,GBR
GE,GEO
GH,GHA
GHA,GHA
GN,GIN
GM,GMB
GMB,GMB
GW,GNB
GQ,GNQ
GR,GRC
GD,GRD
GT,GTM
GY,GUY
HN,HND
HR,HRV
HT,HTI
HU,HUN
ID,IDN
IN,IND
IE,IRL
IR,IRN
IQ,IRQ
IL,ISR
IT,ITA
JM,JAM
JO,JOR
JP,JPN
KZ,KAZ
KE,KEN
KG,KGZ
KH,KHM
KI,KIR
KN,KNA
KR,KOR
KW,KWT
LA,LAO
LB,LBN
LR,LBR
LY,LBY
LC,LCA
LK,LKA
LS,LSO
LT,LTU
LU,LUX
LV,LVA
MO,MAC
MA,MAR
MD,MDA
MG,MDG
MDV,MDV
MV,MDV
MX,MEX
MH,MHL
MK,MKD
ML,MLI
MT,MLT
MM,MMR
ME,MNE
MN,MNG
MZ,MOZ
MR,MRT
MS,MSR
MSR,MSR
MU,MUS
MW,MWI
MY,MYS
NE,NER
NG,NGA
NI,NIC
NU,NIU
NL,NLD
NO,NOR
NP,NPL
NR,NRU
NRU,NRU
NZ,NZL
NZL,NZL
OM,OMN
PK,PAK
PA,PAN
PE,PER
PH,PHL
PW,PLW
PG,PNG
PL,POL
PR,PRI
KP,PRK
PT,PRT
PY,PRY
PS,PSE
QA,QAT
RO,ROU
RU,RUS
RW,RWA
RWA,RWA
SA,SAU
SD,SDN
SN,SEN
SG,SGP
SH,SHN
SB,SLB
SL,SLE
SV,SLV
SO,SOM
RS,SRB
SS,SSD
ST,STP
SR,SUR
SK,SVK
SI,SVN
SE,SWE
SZ,SWZ
SX,SXM
SC,SYC
SY,SYR
TCA,TCA
TD,TCD
TG,TGO
TH,THA
TJ,TJK
TK,TKL
TM,TKM
TL,TLS
TO,TON
TT,TTO
TN,TUN
TR,TUR
TUV,TUV
TV,TUV
TW,TWN
TZ,TZA
UG,UGA
UGA,UGA
UA,UKR
UY,URY
US,USA
UZ,UZB
VC,VCT
VE,VEN
VG,VGB
VGB,VGB
VN,VNM
VU,VUT
WS,WSM
XK,XKX
YE,YEM
ZA,ZAF
ZM,ZMB
ZW,ZWE
ZWE,ZWE
