year,displaced_persons,displaced_persons_mil
1993,21267300,21.2673
1994,21721124,21.721124
1995,20169064,20.169064
1996,19187660,19.18766
1997,17616279,17.616279
1998,17522118,17.522118
1999,16682808,16.682808
2000,19074902,19.074902
2001,18156186,18.156186
2002,16333288,16.333288
2003,14769515,14.769515
2004,15883543,15.883543
2005,16079203,16.079203
2006,23411400,23.4114
2007,25870357,25.870357
2008,25755073,25.755073
2009,27011800,27.0118
2010,26082608,26.082608
2011,26773006,26.773006
2012,29108882,29.108882
2013,36786722,36.786722
2014,48453612,48.453612
2015,56827908,56.827908
2016,56540934,56.540934
2017,62148589,62.148589
2018,65286350,65.28635
2019,68066172,68.066172
2020,73404211,73.404211
2021,77266042,77.266042
2022,92173159,92.173159
