scenario,year,displaced_persons
Historical,1993,18.234853
Historical,1994,19.223538
Historical,1995,16.96951
Historical,1996,16.753763
Historical,1997,15.478281
Historical,1998,15.445128
Historical,1999,14.385428
Historical,2000,17.733444
Historical,2001,16.889069
Historical,2002,15.735691
Historical,2003,14.181138
Historical,2004,15.268091
Historical,2005,15.729548
Historical,2006,22.919698
Historical,2007,25.456462
Historical,2008,25.272805
Historical,2009,26.334563
Historical,2010,25.603568
Historical,2011,26.303993
Historical,2012,28.707126
Historical,2013,36.474801
Historical,2014,47.838058
Historical,2015,55.584128
Historical,2016,56.107348
Historical,2017,61.830676
Historical,2018,64.922417
Historical,2019,67.665584
Historical,2020,73.031721
Historical,2021,77.0303430000001
SSP1,2022,77.0303430000001
SSP2,2022,77.17140103125
SSP3,2022,77.1875420625
SSP5,2022,77.201489640625
SSP1,2023,78.212216609375
SSP2,2023,78.496505390625
SSP3,2023,78.493576
SSP5,2023,78.48666984375
SSP1,2024,79.438869390625
SSP2,2024,79.8602026875
SSP3,2024,79.81758878125
SSP5,2024,79.68169559375
SSP1,2025,80.834622453125
SSP2,2025,81.329924046875
SSP3,2025,81.22395825
SSP5,2025,81.027710953125
SSP1,2026,82.66769890625
SSP2,2026,83.199101984375
SSP3,2026,83.08067490625
SSP5,2026,82.73997134375
SSP1,2027,84.707130828125
SSP2,2027,85.3208645625
SSP3,2027,85.323544234375
SSP5,2027,85.09290778125
SSP1,2028,86.79186309375
SSP2,2028,87.48732953125
SSP3,2028,87.90876178125
SSP5,2028,87.6488543906251
SSP1,2029,88.443560015625
SSP2,2029,88.92677496875
SSP3,2029,89.686630046875
SSP5,2029,89.216142171875
SSP1,2030,89.73020515625
SSP2,2030,90.265201453125
SSP3,2030,91.30284515625
SSP5,2030,90.765939265625
SSP1,2031,91.311692484375
SSP2,2031,91.741167921875
SSP3,2031,92.924216578125
SSP5,2031,92.198354046875
SSP1,2032,92.7529828281251
SSP2,2032,92.600496515625
SSP3,2032,94.06670953125
SSP5,2032,93.01996678125
SSP1,2033,93.51000746875
SSP2,2033,92.83803175
SSP3,2033,94.384652546875
SSP5,2033,93.06390703125
SSP1,2034,93.671366046875
SSP2,2034,91.4889255625
SSP3,2034,93.280669171875
SSP5,2034,91.465195796875
SSP1,2035,92.54893109375
SSP2,2035,89.45891096875
SSP3,2035,91.41535015625
SSP5,2035,89.339699828125
SSP1,2036,90.59555415625
SSP2,2036,87.68587240625
SSP3,2036,89.497739640625
SSP5,2036,87.784834734375
SSP1,2037,88.511680171875
SSP2,2037,86.65095534375
SSP3,2037,88.29218090625
SSP5,2037,87.283991109375
SSP1,2038,86.922310796875
SSP2,2038,86.3229519375
SSP3,2038,87.726923671875
SSP5,2038,87.223684203125
SSP1,2039,86.106096171875
SSP2,2039,86.173166453125
SSP3,2039,87.59704515625
SSP5,2039,87.42263909375
SSP1,2040,85.875159390625
SSP2,2040,85.943466953125
SSP3,2040,87.86015171875
SSP5,2040,87.741207765625
SSP1,2041,86.4117295312501
SSP2,2041,86.95963771875
SSP3,2041,88.9675469531251
SSP5,2041,89.0346423281251
SSP1,2042,86.96541334375
SSP2,2042,87.98333121875
SSP3,2042,90.059134953125
SSP5,2042,90.255178390625
SSP1,2043,87.5891240781251
SSP2,2043,88.930180796875
SSP3,2043,91.18051146875
SSP5,2043,91.560307984375
SSP1,2044,88.26168846875
SSP2,2044,89.9640222656251
SSP3,2044,92.397099703125
SSP5,2044,93.0632688125
SSP1,2045,89.00026821875
SSP2,2045,91.06271834375
SSP3,2045,93.7796165625
SSP5,2045,94.738768875
SSP1,2046,89.78781353125
SSP2,2046,92.21614828125
SSP3,2046,95.355433875
SSP5,2046,96.679879203125
SSP1,2047,90.527457515625
SSP2,2047,93.419860765625
SSP3,2047,97.1432583125
SSP5,2047,98.987888421875
SSP1,2048,91.26106653125
SSP2,2048,94.60746921875
SSP3,2048,99.135089328125
SSP5,2048,101.687905546875
SSP1,2049,92.00565634375
SSP2,2049,95.876299
SSP3,2049,101.382107296875
SSP5,2049,104.59033325
SSP1,2050,92.7862960625
SSP2,2050,97.34752584375
SSP3,2050,103.644718703125
SSP5,2050,107.632017671875
SSP1,2051,93.5764910625
SSP2,2051,99.003409875
SSP3,2051,106.01031609375
SSP5,2051,110.225373765625
SSP1,2052,94.413096875
SSP2,2052,100.750904046875
SSP3,2052,108.5660885
SSP5,2052,112.653471625
SSP1,2053,95.2574025625
SSP2,2053,102.47644509375
SSP3,2053,111.04624515625
SSP5,2053,115.151777234375
SSP1,2054,96.146583859375
SSP2,2054,104.184024140625
SSP3,2054,113.375676640625
SSP5,2054,117.739802203125
SSP1,2055,97.127853265625
SSP2,2055,105.9632715625
SSP3,2055,115.45776803125
SSP5,2055,120.488254078125
SSP1,2056,98.192901484375
SSP2,2056,107.779083375
SSP3,2056,117.39571896875
SSP5,2056,123.2449718125
SSP1,2057,99.306176546875
SSP2,2057,109.506320390625
SSP3,2057,119.3456508125
SSP5,2057,125.858664109375
SSP1,2058,100.459247953125
SSP2,2058,111.152918171875
SSP3,2058,121.230434234375
SSP5,2058,127.411928890625
SSP1,2059,101.631536671875
SSP2,2059,113.18556678125
SSP3,2059,123.1562240625
SSP5,2059,128.423887109375
SSP1,2060,102.84664515625
SSP2,2060,115.1399415
SSP3,2060,124.56809496875
SSP5,2060,128.836938875
SSP1,2061,103.38106803125
SSP2,2061,117.357316515625
SSP3,2061,125.82336415625
SSP5,2061,129.02090684375
SSP1,2062,103.943022015625
SSP2,2062,119.49829596875
SSP3,2062,127.05726415625
SSP5,2062,129.429154890625
SSP1,2063,104.529265796875
SSP2,2063,121.485934625
SSP3,2063,128.29341253125
SSP5,2063,130.64242984375
SSP1,2064,105.12766678125
SSP2,2064,123.378718984375
SSP3,2064,129.045545
SSP5,2064,132.63660834375
SSP1,2065,105.73125203125
SSP2,2065,125.045159296875
SSP3,2065,129.546033375
SSP5,2065,134.68273209375
SSP1,2066,106.330986984375
SSP2,2066,126.504613984375
SSP3,2066,129.846898390625
SSP5,2066,136.733736109375
SSP1,2067,106.91690965625
SSP2,2067,127.818968921875
SSP3,2067,130.261552921875
SSP5,2067,138.97749378125
SSP1,2068,107.5151881875
SSP2,2068,129.0435661875
SSP3,2068,130.7379026875
SSP5,2068,141.382083421875
SSP1,2069,108.120430828125
SSP2,2069,130.217338328125
SSP3,2069,131.091239921875
SSP5,2069,143.743059671875
SSP1,2070,108.7281523125
SSP2,2070,131.363063203125
SSP3,2070,131.48780984375
SSP5,2070,146.026973296875
SSP1,2071,109.34069259375
SSP2,2071,132.311938890625
SSP3,2071,132.012514765625
SSP5,2071,148.087925890625
SSP1,2072,109.975371328125
SSP2,2072,132.908011984375
SSP3,2072,132.928494546875
SSP5,2072,149.38339771875
SSP1,2073,110.60456565625
SSP2,2073,133.40409775
SSP3,2073,134.58122484375
SSP5,2073,149.17658384375
SSP1,2074,111.216346015625
SSP2,2074,133.906746125
SSP3,2074,136.6226475
SSP5,2074,148.3113585625
SSP1,2075,111.806687015625
SSP2,2075,134.24395053125
SSP3,2075,138.7320523125
SSP5,2075,147.283124140625
SSP1,2076,112.380605875
SSP2,2076,134.48737628125
SSP3,2076,140.918113765625
SSP5,2076,146.612883609375
SSP1,2077,112.9314484375
SSP2,2077,134.673643390625
SSP3,2077,143.13536696875
SSP5,2077,146.968883359375
SSP1,2078,113.4530085
SSP2,2078,134.839522875
SSP3,2078,145.237480015625
SSP5,2078,147.6825424375
SSP1,2079,113.952391921875
SSP2,2079,135.10178434375
SSP3,2079,147.20215175
SSP5,2079,148.712338421875
SSP1,2080,114.448800703125
SSP2,2080,135.45913153125
SSP3,2080,149.085135953125
SSP5,2080,149.671549796875
SSP1,2081,114.492585734375
SSP2,2081,135.43571234375
SSP3,2081,150.92030546875
SSP5,2081,151.691212390625
SSP1,2082,114.54605928125
SSP2,2082,135.483619484375
SSP3,2082,152.586919515625
SSP5,2082,153.553943609375
SSP1,2083,114.61010428125
SSP2,2083,135.600196796875
SSP3,2083,153.835986375
SSP5,2083,155.42128196875
SSP1,2084,114.68471146875
SSP2,2084,135.758849890625
SSP3,2084,154.032038859375
SSP5,2084,157.61230775
SSP1,2085,114.767146140625
SSP2,2085,135.93232328125
SSP3,2085,153.32928184375
SSP5,2085,159.82338259375
SSP1,2086,114.86018703125
SSP2,2086,136.141218484375
SSP3,2086,152.335464890625
SSP5,2086,161.884733375
SSP1,2087,114.992920984375
SSP2,2087,136.35567740625
SSP3,2087,151.723563421875
SSP5,2087,163.567481484375
SSP1,2088,115.134676375
SSP2,2088,136.569553140625
SSP3,2088,151.443589390625
SSP5,2088,164.7295741875
SSP1,2089,115.282444140625
SSP2,2089,136.817967671875
SSP3,2089,151.4077704375
SSP5,2089,166.043834796875
SSP1,2090,115.42583121875
SSP2,2090,137.09415215625
SSP3,2090,151.67009453125
SSP5,2090,167.654695578125
SSP1,2091,115.568353515625
SSP2,2091,137.383679515625
SSP3,2091,152.35446571875
SSP5,2091,169.855375296875
SSP1,2092,115.716674984375
SSP2,2092,137.73839675
SSP3,2092,153.232188359375
SSP5,2092,172.51115365625
SSP1,2093,115.86894671875
SSP2,2093,138.140686234375
SSP3,2093,154.3941694375
SSP5,2093,175.65513521875
SSP1,2094,116.017938234375
SSP2,2094,138.566850609375
SSP3,2094,155.571259296875
SSP5,2094,178.48141521875
SSP1,2095,116.160288015625
SSP2,2095,139.000176828125
SSP3,2095,156.75566996875
SSP5,2095,180.411113953125
SSP1,2096,116.302777515625
SSP2,2096,139.43144140625
SSP3,2096,157.9057285625
SSP5,2096,182.381255859375
SSP1,2097,116.448258890625
SSP2,2097,139.906102046875
SSP3,2097,158.923318296875
SSP5,2097,183.93147090625
SSP1,2098,116.594294546875
SSP2,2098,140.402854765625
SSP3,2098,159.822622375
SSP5,2098,185.5562363125
SSP1,2099,116.740441984375
SSP2,2099,140.919476703125
SSP3,2099,160.59016475
SSP5,2099,187.83178228125
SSP1,2100,116.884293875
SSP2,2100,141.43409409375
SSP3,2100,161.27197684375
SSP5,2100,190.245784578125
